Aoc_bl,Boc_bl,Aoc_do,Afp_do,boc_do,bfp_do,Ao1_alpha,Ao2_alpha,Bo1_alpha,Bo2_alpha,Aoc_bl2,Boc_bl2
-1.049946864,-0.367896678,0.42691455,0.720356652,-0.501292404,-1.145272557,-0.300854636,-0.749092229,-0.276160244,-0.091736434,-0.42824356,-2.4688752
-0.607983641,-0.354111788,0.02952518,5.283347234,-0.91497068,-7.996998195,-0.295016407,-0.312967233,-0.339056846,-0.015054942,-1.687490432,-2.161205362
-0.54174386,0.280239812,0.42023663,-0.738144077,0.40553766,-1.13864359,-0.157041623,-0.384702237,0.083296007,0.196943805,-1.756443199,-3.085108184
0.241323735,0.587286767,0.519867454,1.361075974,-0.091445154,0.971247175,0.05793369,0.183390046,0.320495648,0.266791119,-3.297155762,-1.749303832
0.593390533,0.301969211,0.462381857,6.406310872,-0.081780029,3.243040297,0.159508758,0.433881774,0.163332131,0.13863708,-1.543198784,-3.08134191
0.398026916,0.049969502,0.417161308,0.844539289,1.303175865,1.578639544,0.115992744,0.282034172,-0.007574773,0.057544276,-2.375181691,-5.693222179
0.322342239,0.076760894,0.643117842,-0.651417478,2.805233119,3.03003004,0.057519097,0.264823142,-0.069285654,0.146046548,-2.61129003,-3.644667523
0.309147538,0.597191017,0.68791087,-0.519311581,0.03698819,3.41787599,0.048240793,0.260906745,0.287551001,0.309640016,-2.653569063,-1.722816499
0.244906264,0.336484669,0.35423502,0.64889486,0.352074027,-0.729356031,0.079075944,0.165830319,0.109008578,0.227476091,-3.388694871,-2.75469785
0.128508655,0.100587586,-0.579256875,-2.942241915,-1.176560716,0.462816574,0.101474089,0.027034567,0.109467494,-0.008879908,-4.507330622,-4.417696505
0.215439898,0.218019972,0.494864789,8.752495521,0.372222313,1.750663523,0.054413139,0.161026759,0.068434037,0.149585935,-3.544245684,-3.609729351
-0.130937934,0.008421389,0.186931444,-0.320723359,4.58404547,-2.630146273,-0.053230758,-0.077707176,-0.015091321,0.023512711,-4.724864185,-7.1554534
-0.070287047,-0.112964481,-4.040920584,0.640468472,-0.317005256,0.276180559,-0.177155712,0.106868664,-0.074387408,-0.038577074,-3.151099017,-4.958753194
-0.060669652,-0.48635065,-0.516011187,0.962564325,0.093394657,-0.916687134,-0.045987936,-0.014681717,-0.220464049,-0.265886601,-6.06169688,-2.126113266
0.229692839,-0.451764617,-0.978736785,-19.18220913,0.504718106,1.412612937,0.227250835,0.002442004,-0.111875418,-0.339889199,-2.963286279,-2.055406497
0.307592814,-0.537278677,-1.695406143,-0.346887096,-0.019613569,0.410264365,0.414543781,-0.106950966,-0.273908315,-0.263370362,-1.696712658,-1.935239298
0.41166338,-0.643258238,-0.742802663,0.330590426,-0.157654038,-0.345906079,0.358724018,0.052939363,-0.372335248,-0.27092299,-2.028858722,-1.551014283
-0.070323898,-0.460677784,1.387559329,-3.302504259,-0.150809618,-0.865046737,0.013627341,-0.083951239,-0.265076212,-0.195601572,-4.929030197,-2.220771279
